Brand Name,Language,Video Title,Video URL,Transcript Text,Transcript Text (English),Language Code
Fusiflex,English,Fusiflex - English,https://youtu.be/CZAwt1tTJ_0,oh a,oh a,en
Fusiflex,Hindi,Fusiflex - Hindi,https://youtu.be/joKsMMTMYgk,झाल है ना मानो तो में पेश शब्द कर दो को दबाइए अब बस रंग दो क्यों क्या हुआ क्या हुआ क्या हुआ आप के खेत में इतनी खेत में खेत में क्या है कि आप चलो तो अरे चलो चलो चल कर देखते हैं अ अ कर दो कि फील क्या करें पकड़े क्या पर यह तो बहुत तेज है भाई जी है अरे भाई सुनो यह सितम ही नहीं रखा है कि तुम्हें ताकि के साथ रहे चीता कभी घास खाता है क्या जब आप खेतों में खरपतवार की दवाई डालकर हो हैं तब खरपतवार पूरी तरह से खत्म होने में इतना समय लेता है कि तब तक वह सोयाबीन और मूंगफली का पूरा ख्याल रखा जाता है और दवाई अच्छी ना हो तो बार-बार गंवानी पड़ती है इसलिए मैंने सुना है यह चिट्ठा भिक्षा चीता मतलब हां मतलब सेंटर का म्यूजिक लाइट प्रति गिरफ्तार से सोयाबीन और मूंगफली के खेतों से खरपतवार को खत्म कर देता है बस दो-तीन दिनों में ही खरपतवार खत्म सच में खरपतवार पर नियंत्रण करने में इसका कोई मुकाबला नहीं और कुछ लोगों का यह कहना है कि यह फसल पर बिखर जाता है हां अरे भाई बुखार तो हर गवाही देती हैं तहत तो सभी है और नुकसान भी लंबे समय तक रहता है कि यही तो खूबी है कि चार-पांच दिनों में ही नए स्वस्थ सांप और हरे-भरे पत्ते निकला कि थी ज्ञान सच में यार आपने सही चुनाव किया मुझे Black का इस्तमाल करेगे इसे एक आया इसका छिड़काव अकेले ही करना है अच्छा इसमें चिपको या अन्य और कोई दवा मिलने का झंझट ही नहीं है यह और आसान भी म्यूजिक प्ले छिड़काव का सही समय तीन से चार पत्ती का गणपत वर्ग दवा की सही मात्रा चार सौ मिली लीटर प्रति एकड़ पानी की सही मात्रा 200 लेकर प्रति एकड़ छिड़काव करते वक्त खेतों में सही नमी छिड़काव करें सिर्फ मैप्स एक्सप्रेस लाइफ फंड या ब्लड नोजल के साथ या ट्रैक्टर से कई सारे नोजल के साथ समझ गया जितना मेरे खेतों के लिए चेंजेस डुप्लेक्स जरूरी है उतना ही जरूरी है उसका सही इस्तेमाल भय अगर खरपतवार को करना है खत्म और उसको को रखना है पुतला तो लाना है सिर्फ चेंज डैंड्रफ क्यूट है इंजिनियर क्यों डिपिक्ट्स थे कि इस करें खरपतवार सहित एक गिरफ्तार,"If you believe it or not, then present the words and press the button. Now just give me the color. What happened, what happened, what happened in your field, what is there in the field, so much in the field, that you walk, so come on, let's go, let's see, A, A, Do it to feel what to do, hold on, but it is very fast, brother, oh brother, listen, it has not kept you only to stay with me. Does the leopard ever eat grass? When you put weed medicine in the fields, then the weeds are completely destroyed. It takes so much time to get eliminated that till then soybean and groundnut are completely taken care of and if the medicine is not good then one has to lose it again and again, that is why I have heard this blog Bhiksha Cheeta meaning yes meaning center's music light per arrest eliminates weeds from soybean and groundnut fields in just two-three days, weeds are eliminated in just two-three days, really it has no match in controlling weeds and some people say this That it gets scattered on the crop. Yes brother, fever is every testimony, everyone is under it and the damage also lasts for a long time, that's the beauty that new healthy snakes and green leaves emerged within four-five days, that was the knowledge, really friend, you have made the right choice, I will use Black, it came to me, it has to be sprayed alone, it is good, there is no hassle of getting stick or any other medicine, it is also easy, play music, the right time of spraying is from three to three Ganpat Varg of four leaves Take the right amount of medicine 400 milliliters per acre Take the right amount of water 200 per acre Spray the right moisture in the fields while spraying only with Maps Express Life Fund or blood nozzle or with many nozzles from the tractor I have understood that as much as Changes Duplex is necessary for my fields, it is equally important to use it properly If you want to eliminate weeds and want to keep them, then you have to bring only Change Dandruff is cute Why were the engineers accused of doing this and arrested someone with weed?",hi
Calaris Xtra,English,Calaris Xtra - English,https://youtu.be/DynSpXxQzws,life is all about making the right choices beginning with the time of birth we make choices every day choices that impact our lives the decisions we take today reflect our life tomorrow and the choices that we make have a great effect on our outcome everything that happens to us in life is a result of our choices life is all about making the right choice life is all about making a difference now is your time to make the right choice to get rid of field from your field presenting collaris extra inspired by nature india's first premix herbicide for corn and sugarcane kolaris extra has a broad spectrum it has a unique combination and a dual mode of action it is post-emergent herbicide it is a pre-mix sc formulation coloris extra has built-in android apply polaris extra at three to four leaf stage of weeds with a dose of one thousand four hundred milliliter per acre polaris extra has to be applied with a knapsack sprayer with flood jet or flat fan nozzle with 200 liters of water per acre polaris extra is recommended for grass weeds and broad bleed weed control you,life is all about making the right choices beginning with the time of birth we make choices every day choices that impact our lives the decisions we take today reflect our life tomorrow and the choices that we make have a great effect on our outcome everything that happens to us in life is a result of our choices life is all about making the right choice life is all about making a difference now is your time to make the right choice to get rid of field from your field presenting collaris extra inspired by nature india's first premix herbicide for corn and sugarcane kolaris extra has a broad spectrum it has a unique combination and a dual mode of action it is post-emergent herbicide it is a pre-mix sc formulation coloris extra has built-in android apply polaris extra at three to four leaf stage of weeds with a dose of one thousand four hundred milliliter per acre polaris extra has to be applied with a knapsack sprayer with flood jet or flat fan nozzle with 200 liters of water per acre polaris extra is recommended for grass weeds and broad bleed weed control you,en
Calaris Xtra,Hindi,Calaris Xtra - Hindi,https://youtu.be/UcRCSQNB6ig,कि नमस्कार साथियों मेरा नाम राजा व्यापारी है मध्यम गांव का रहने वाला हूं जिला कोंडागांव और मैं छत्तीसगढ़ रहने वाला हूं मेरे पास टोटल 40 करके थे जिसमें मैं मक्का तथा धान की फसल करता हूं जिसमें मुख्य फसल मत है नमस्कार मेरा नाम अंतिम अरदास है मैं ग्राम पश्चिम बंगाल का रहने वाला हूं जिला कोंडागांव छत्तीसगढ़ का निवासी हूं मेरे पास 22 शक्कर का खेती है आठ कर में मिर्ची लगाता हूं और बाकी में मक्खन लगा तो मेरा मुख्य फसल जो है मौत का ही है में उपस्थित थे में मकई के खेत में सबसे बड़ा मुख्य समस्या है घास के नियंत्रण के लिए मैंने पी कंपनियों के काफी सारे दवाइयों पर यूज किया है पर मुझे उससे कुछ खास लाभ नहीं मिल पाया जिसके कारण मैंने जितने भी फर्टिलाइजर रख जो का उपयोग किया है वह ऐसी खींच लेती है जिससे मेरे पौधे को जो पोषक तत्व मिलने थे वह नहीं मिल पाते हैं कि मैं 3 साल से कलर सेक्टर उपयोग कर रहा हूं जिससे मेरी घास की टेंशन टोटल खत्म हो चुकी है और मैं इस प्रोडक्ट्स इन इंडिया का बैलेंस एक्स्ट्रा यूज करके बहुत ही खुश हूं एक गैलरी एक्स्ट्रा घास नियंत्रण के साथ-साथ पौधे में अच्छा सा ग्रोथ देता है पौधे में हरापन लंबे समय तक रहता है और मेरा उत्पादन पिछले दो साल से बहुत अच्छा रहा है अन्य कंपनियों को जो प्रोडक्ट होते हैं उसमें हमें देखने को मिलता है कि हमें उसमें तीन से चार केमिकल को मिलाना पड़ता है जिसके कारण अगर केमिकल की मात्रा थोड़ी अलग हो गई तो हमें इसमें भारी नुकसान देखने को मिल सकता है पर सिनिटा कंपनी का जो गैलरी से एक्स्ट्रा है वह एक मात्र ऐसा प्रीमिक्स है जिसमें हमें किसी भी केमिकल को मिलाने की कोई आवश्यकता नहीं है के प्रति जनता खैर इस एक्स्ट्रा का उपयोग दो सौ लीटर पानी में 14 मेल को मिलाकर के उपयुक्त नमी वाली जगह पर जब हाथ की तीन से चार पत्तियां आए तब इसका उपयोग करें जिससे आपको अच्छा रिजल्ट मिलेगा कई कंपनियों को दो ऐसा रहता है तीन-चार केमिकल को मिलाना पड़ता है एक साथ तो कभी कवर क्या होता है कि पानी गिर जाता है तो दो इस पर नहीं कर पाते उस हिसाब से क्या होता है कि जो दवाई हमारा मिला हुआ रहता है वह बाद में काम नहीं करता खराब हो जाता है तो गैलरी एक्स्ट्रा में ऐसा है कि इस प्रयोग को हो जाए 2 घंटे बाद भी पानी गिर तब से भी यह काम करता है कि मैं पिछले 20 साल के हमसे बोल रहा हूं सेंटर का खिलाड़ी एक्स्ट्रा इससे बेहतर खरपतवार नाशक मैंने आज तक नहीं देखा तथा मैं सभी किसान भाइयों को यह बोलना चाहूंगा कि आप भी अपने खेत में चला इसे एक्स्ट्रा का उपयोग करें घास को टोटल खत्म करें और तथा अपने पौधे को भी वृद्धि में है अ कि सिंह इंटर कॉलेज एक्स्ट्रा फर्क दिखेगा जब फैसला होगा सही है कर दो कर दो कर दो कर दो कर दो कि अ,,hi
Calaris Xtra,Marathi,Calaris Xtra - Marathi,https://youtu.be/0gNOcvqVFo4,हां जी 151 आप लिए योग्य निर्णय निरस्त करना ही है में जमा चार मेरे पास न तरफ यू साय और अन्य प्राचीन वो नाला प्रभावित करना रे निर्णय के तत्व कि आप लेयर मार्ग पर आघात लगा लें निर्णय कि आपने भविष्याची प्रतिबिंबित होता आप लेयर जीवनातील प्रत्येक घटना आप यह निर्णय भरत अवलंबून असते आप लेयर जीवनाथ पिछले कई होता तो आप यह निर्णय जाता है परिणाम उसको जीवन अच्छा हेतु आहे योग्य निर्णय लेना जीवन आता है तू आहे बदल घर सुना दो में आता तुलसी मेरा है योग्य निर्णय लेने चीज आप लेफ्ट लेता मधुमेह आप बदल पकने चीनी करूं तुम हमे भूल सकल तुम साजा क्षेत्र अनावश्यक तनाव पासून मुक्ति साथ रहे गैलरी एक्स्ट्रा कुछ नहीं सर की तरफ परिपूर्ण भारताचे पहिले प्रेमिका तननाशक मक्का आणि उसासाठी अ भी कलर इंच एक्स्ट्रा मध्य है ब्रॉड स्पेक्ट्रम कि यातायात एक यूनीक कांबिनेशन आईएस वैल्यूड एक्सेल कि यह आए एक पोस्ट पेमेंट कर ना सको तो को भी आगे एक प्रेमिका एसपी पापुलेशन गैलरी इस ऐश्वर्या राय आदि फसलें ऐड वेल्थ कि सैलरी इंच एक्स्ट्रा चीफ और मी तमंचा तीन चार पांच नंबर कराओ कि प्रत्येक कर 14 शर्मीली प्रमाण सुपर याचिकौं अपनी दोस्त से लीटर पानी प्रति एकड़ सूरत फ्लाइट जेट की फ्लाइट फ्रॉम 9th वाले आपने सिक्स प्लेयर मार्फत करा कलर इस एक्स्ट्रा दोस्तों मक्का अनुसार चैंपियन मधे गव अज्ञात उड़न तश्तरी 1549 तंग और सांगलिया अनुसार प्रकाशित कि नियंत्रण किलर इंच एक्स्ट्रा ऑइल डिटेल जेवर निर्णय योग्य सेल गैलरी इंच एक्स्ट्रा पर डिपेंड ओं,"Yes Yes 151 For you, the right decision is to be cancelled, I have accumulated four near me, on neither side of you, you, and other ancient, that drain, affecting the elements of decision, that you strike on the path of decision, the decision that you have taken, reflects the future, you, every event in life, this decision depends on you, you, layer Jeevnath, if there have been many previous ones, then you, this decision goes to the result, it is for a good life. Should I forget you, gross, you, free from unnecessary stress in the whole area, stay together, gallery extra, nothing on the head side, perfect India's first girlfriend tannic maize and for that, there is also color inch extra middle, broad spectrum traffic is a unique combination is valued excel, if it comes to a post, if you can't pay then also a girlfriend SP population gallery is Aishwarya Rai etc crops ad wealth ki salary inch extra chief and me pistol three four five number Get each tax done 14 shy proof super petitions from your friend liter water per acre Surat flight jet flight from 9th one you got it done through six player color this extra friends Mecca according champion Madhe Gov unknown flying saucer 1549 tight and Sanglia published according that control killer inch extra oil detail jewel decisionable cell gallery inch extra depend on",hi-orig
Calaris Xtra,Kannada,Calaris Xtra - Kannada,https://youtu.be/CDX7taOb3m4,"ದಿ ರಿಟರ್ನ್ ಆಫ್ ರೆಬೆಲ್ ರೀನಾ ರಾಯ್" ಜೊತೆಗೆ ನಾನು ಮತ್ತು ಅವಳು ಬೈಕುಂತ್ ಜಲವನ್ನು ಚೆನ್ನಾಗಿ ಬೆರೆಸಿದೆವು ಮತ್ತು ನಂತರ ಅದನ್ನು ಹೆಚ್ಚುವರಿಯಾಗಿ ತಯಾರಿಸಲು ನಾವು ಅದನ್ನು ಈ ರೀತಿ ಬಳಸಿದ್ದೇವೆ.,"The Return of Rebel Reena Roy in which she and I. After mixing the Baikuntha water very well, we extra it in this manner.",hi-orig
Miravis Duo,Marathi,Miravis Duo - Marathi,https://youtu.be/BZk38iIsDZ4,"ताकद , तग धरण्याची क्षमता आणि व्यापकता - मिराविस ड्युओ एक अविष्कारी बुरशीनाशक. पहा मिराविस ड्युओ कसे तुमच्या द्राक्षांना अतुलनीय रोग नियंत्रण देऊन त्यांच्या उत्तम वाटचालीमध्ये मदत करते . मिराविस ड्यूओ पावडरी मिल्ड्यू आणि एंथ्राक्नोजसारख्या रोगांच्या प्रभावी नियंत्रणासाठी आणि द्राक्षपिकाच्या संरक्षणासाठी तयार केले गेले आहे. मिराविस ड्यूओचे फायदे: अतुलनीय रोग नियंत्रण चांगल्या दर्जाचे उत्पादन बाजारात जास्त फायदा उच्च दर्जाचे सशक्त घड खालील तपशील देऊन तुम्ही आमच्या मोफत मिराविस ड्यूओ माहितीपत्रकाची प्रत मिळवू शकता: https://bit.ly/miravisduomarathigrape Follow us on : https://www.facebook.com/IndiaSyngenta syngenta miravisduo grapes miravisduograpes betterquality betterdeal betterdeals Grapesfungicide Grapesfarming cropprotection DiseaseFreeGrapes GrapesProtection AdvancedFungicide bestfungicide fungicideforgrapes","Strength, durability and versatility - Miravis Duo is an innovative fungicide. See how Miravis Duo helps keep your grapes at their best with unparalleled disease control. Miravis Duo is formulated for effective control of diseases such as powdery mildew and anthracnose and protection of the grape crop. Advantages of Miravis Duo: Unrivaled Disease Control Better Quality Product High Market Advantage High Quality Strong Bunches You can get a copy of our free Miravis Duo brochure by providing the following details: https://bit.ly/miravisduomarathigrape Follow us on : https://www.facebook.com/IndiaSyngenta syngenta miravisduo grapes miravisduograpes betterquality betterdeal betterdeals Grapesfungicide Grapesfarming crop protection DiseaseFreeGrapes GrapesProtection AdvancedFungicide bestfungicide fungicideforgrapes",unknown
